title,soldprice,solddate,link
"Dell Precision M6600 i7 2860QM 2.50GHz,12GB RAM, 1TB HDD, NVIDIA QUADRO 3000M ",200.0,7 Jun 2022,https://www.ebay.co.uk/itm/125302085398?hash=item1d2c961716%3Ag%3AakcAAOSwwzNidpxA&LH_BIN=1&LH_ItemCondition=3000
"Dell Precision 5510 Laptop i7 6820HQ 16GB/512GB SSD, Nvidia 2GB, Thunderbolt 3",250.0,20 Jun 2022,https://www.ebay.co.uk/itm/255592002642?hash=item3b82787452%3Ag%3A7bAAAOSwm3hisJmS&LH_BIN=1&LH_ItemCondition=3000
"17.3"" Dell Precision M6800 Laptop i7-4800MQ 2.70GHz 8GB 500GB SSHD FirePro M6100",199.99,29 May 2022,https://www.ebay.co.uk/itm/134130720436?hash=item1f3ad05eb4%3Ag%3AmrMAAOSwJRRikJfD&LH_BIN=1&LH_ItemCondition=3000
"Dell Precision M4700 15.6"" Laptop Core i7-3840QM 2.80GHz 32GB 500GB Quadro K1000",164.99,25 May 2022,https://www.ebay.co.uk/itm/115395839320?hash=item1ade20c558%3Ag%3A7B8AAOSwHTVijJYZ&LH_BIN=1&LH_ItemCondition=3000
Dell precision m4700 win10Pro i7-3720qm  270ssd 24gb ram nvidia k1000m (2gb ),235.0,26 Jun 2022,https://www.ebay.co.uk/itm/115429832751?hash=item1ae027782f%3Ag%3AlfUAAOSwIV1isNA7&LH_BIN=1&LH_ItemCondition=3000
Dell Precision 7550 i9 10th Gen 32GBRAM Nvidia Quadro T1000 1TB SSD Workstation,1100.0,1 Jul 2022,https://www.ebay.co.uk/itm/175252585032?hash=item28cdde3a48%3Ag%3A6hgAAOSwXvNiZuYO&LH_BIN=1&LH_ItemCondition=3000
"Dell Precision M4700 15.6"" Laptop Core i7-3720QM 2.60GHz 16GB 160GB Quadro K1000",129.99,25 May 2022,https://www.ebay.co.uk/itm/125332289682?hash=item1d2e62f892%3Ag%3AFBIAAOSwZPpijJ-f&LH_BIN=1&LH_ItemCondition=3000
"DELL PRECISION GAMING LAPTOP 17.3""  CORE i5 16GB RAM 256GB SSD + 1TB WINDOW 10",229.99,9 Jul 2022,https://www.ebay.co.uk/itm/282614352710?hash=item41cd20cb46%3Ag%3ANtwAAOSwkOJh3XF7&LH_BIN=1&LH_ItemCondition=3000
Dell Precision M3800 Touchscreen - Intel i7 4702HQ @2.20GHz 16GB RAM 120GB SSD,219.99,9 Jun 2022,https://www.ebay.co.uk/itm/265714567403?hash=item3dddd288eb%3Ag%3AFY4AAOSwRX1ilIHm&LH_BIN=1&LH_ItemCondition=3000
"Dell Precision 5540 Laptop: 9th Gen Core i7 16GB RAM, 512GB",700.0,11 Jun 2022,https://www.ebay.co.uk/itm/203951358136?hash=item2f7c72c0b8%3Ag%3AT0kAAOSwX7FigdqV&LH_BIN=1&LH_ItemCondition=3000
"Dell Precision 7720 17.3"" FHD, Intel i7-6920HQ, 1TB SSD, 64GB RAM, NVIDIA P5000",749.95,30 Apr 2022,https://www.ebay.co.uk/itm/334403536143?hash=item4ddc01050f%3Ag%3AuHMAAOSwzzZhr0UM&LH_BIN=1&LH_ItemCondition=3000
"DELL Precision 7760 Xeon 8 core 128GB ram, 1TB SSD, RTXA5000 16gb , 17.3"" FHD 4",2100.0,4 Jul 2022,https://www.ebay.co.uk/itm/284860015759?hash=item4252fae48f%3Ag%3AnbUAAOSw9IhirLHY&LH_BIN=1&LH_ItemCondition=3000
